,name,cricinfo_id,Player_Excel
0,Jack Jarvis,1278263,J Jarvis
1,Sushant Mishra,1175457,S Mishra
2,Piyush Chawla,32966,PP Chawla
3,Piyush Chawla,32966,P Chawla
4,Thomas Bevan,1104894,TR Bevan
5,Vaisakh Chandran,1287068,V Chandran
6,Vasu Vats,1292515,V Vats
7,S Painkra,11111111117,S Painkra
8,William Smale,1158596,WTE Smale
9,Jasper Davidson,1195676,J Davidson
10,Beyers Swanepoel,698319,Beyers Swanepoel
11,Beyers Swanepoel,698319,B Swanepoel
12,Christopher McBride,1027779,CM McBride
13,Brandon McMullen,949473,B McMullen
14,Daaryoush Ahmed,1311039,D Ahmed
15,Adam Patel,11111111120,Adam Patel
16,Oliver Davidson,1278259,O Davidson
17,William Moore,1330156,WS Moore
18,Callum Taylor,1096822,CZ Taylor
19,Finlay McCreath,964085,FDW McGreath
20,R Kumar,11111111115,R Kumar
21,Akash Madhwal,1206039,A Madhwal
22,James Dickinson,1112224,J Dickinson
23,Ben Kellaway,1200126,BI Kellaway
24,H Saleem,11111111114,H Saleem
25,Hrithik Shokeen,1175423,H Shokeen
26,Vikai Kelley,1231047,V Kelley
27,Jakob Bhula,1129632,J Bhula
28,Amrit Basra,1259994,A Basra
29,Ryan Rickelton,605661,R Rickelton
30,Ryan Rickelton,605661,RD Rickelton
31,H Khan,11111111122,H Khan
32,Prem Sisodiya,1094992,P Sisodiya
33,Ollie Hairs,414973,O Hairs
34,Liam Naylor,1195683,L Naylor
35,Henry Hurle,1276118,HE Hurle
36,Vishnu Vinod,732293,Vishnu Vinod
37,Vishnu Vinod,732293,V Vinod
38,Andy Gorvin,737377,AW Gorvin
39,Pukhraj Mann,1299843,P Mann
40,Naman Dhir,1287032,N Dhir
41,Delano Potgieter,596442,D Potgieter
42,Luvnith Sisodia,1155253,L Sisodia
43,Callum Rhys Nicholls,1260391,CR Nicholls
44,Michael English,470900,M English
45,Zen Malik,910361,Z Malik
46,Adrian Neill,1148466,A Neill
47,Rohit Rayudu,1083493,R Rayudu
48,Michael Leask,414966,MA Leask
49,I Mohammad,11111111118,I Mohammad
50,T Ahmad,11111111119,T Ahmad
51,R Minz,11111111111,R Minz
52,Z Latif,11111111121,Z Latif
53,Morgan Bevans,1188372,MJ Bevans
54,H Bist,11111111116,H Bist
55,Yadvinder Chahal,1325519,Yadvinder
56,Kumar Kartikeya,1159843,Kumar Kartikeya
57,Kumar Kartikeya,1159843,K Kartikeya
58,Alasdair Evans,399259,AC Evans
59,Mohammed Rizvi,1178783,M Rizvi
60,Waqar Salamkheil,1108490,W Salamkheil
61,Waqar Salamkheil,1108490,Waqar Salamkheil
62,Nehal Wadhera,1151273,N Wadhera
63,Asa Tribe,1195664,AM Tribe
64,Ruaidhri Smith,458897,RAJ Smith
65,Ayush Shukla,1167779,A Shukla
66,B Punnaiah,1300712,B Punnaiah
67,M Rizwi,11111111123,M Rizwi
68,Ramandeep Singh,1079470,R Singh
69,Scott Steel,1029993,S Steel
70,D Lakra,11111111113,D Lakra
71,Monaam Abbas,1191366,M Abbas
72,Yudhvir Singh,1206052,Y Singh
73,Beuran Hendricks,379927,BE Hendricks
74,Shams Mulani,1131607,S Mulani
75,Alex Horton,1147983,AJ Horton
76,S Crawley,11111111112,S Crawley
77,Arshad Khan,1244751,Arshad Khan
78,James Harris,212739,JAR Harris
79,Angus Guy,1195673,A Guy
80,Akash Pandey,1246443,A Pandey
81,Ben Morris,1258581,BJ Morris
82,Manav Suthar,1175426,M Suthar
