,cricinfo_id,nvplay_name
0,883423,T Bhatia
1,951163,L Harris
2,1187120,A Capsey
3,351836,M Kapp
4,960949,M Mani
5,630972,Poonam Yadav
6,960845,H Deol
7,961107,D Hemalatha
8,556529,S Meghana
9,597821,S Verma
10,922481,L Wolvaardt
11,556537,S Rana
12,885815,SIR Dunkley
13,418423,KJ Garth
14,1071705,A Sutherland
15,355349,DJS Dottin
16,960815,M Joshi
17,1345792,Ashwani Kumari
18,372317,H Kaur
19,546629,H Graham
20,1255411,AB Kaur
21,803971,AC Kerr
22,453370,CL Tryon
23,597815,S Ishaque
24,883413,P Vastrakar
25,597806,S Mandhana
26,364413,D van Niekerk
27,960931,SS Pawar
28,709843,Preeti Bose
29,960853,Renuka Singh
30,420314,M Schutt
31,1255541,Simran Shaikh
32,709837,DP Vaidya
33,878025,LK Bell
34,878039,S Ecclestone
35,276997,S Ismail
36,1070997,C Esterhuizen
37,670035,BA King
38,537319,K Lewis
39,230558,SP Narine
40,784367,KIC Asalanka
41,465793,DM de Silva
42,1126002,Fahad Nawaz
43,450101,RA Reifer
44,276298,AD Russell
45,303427,PR Stirling
46,393279,M de Lange
47,530812,AJ Hosein
48,595419,BD Glover
49,1241201,Matiullah Khan
50,1328438,Sabir Ali
51,1196500,Zawar Farid
52,232359,C Munro
53,297628,SW Billings
54,300628,LD Chandimal
55,249866,AD Hales
56,251721,A Lyth
57,914541,SE Rutherford
58,550235,TK Curran
59,495551,SS Cottrell
60,463668,JB Lintott
61,1194795,M Pathirana
62,1206625,Shiraz Ahmed
63,698317,R Trumpelmann
64,659081,MRJ Watt
65,820351,R Powell
66,534734,Chirag Suri
67,671805,HG Munsey
68,342619,PBB Rajapaksa
69,303669,JE Root
70,670013,FA Allen
71,623695,C Karunaratne
72,437316,MD Shanaka
73,328026,I Udana
74,1241269,Hazrat Luqman
75,1104703,FJ Klaassen
76,296597,JM Vince
77,877051,T Banton
78,670025,SO Hetmyer
79,474760,CP Rizwan
80,1199669,AC Valthapa
81,457249,CR Brathwaite
82,211855,LA Dawson
83,519070,MG Erasmus
84,221140,D Wiese
85,510530,J Overton
86,473191,RJ Gleeson
87,512907,TG Helm
88,288992,CJ Jordan
89,1199670,SM Sharma
90,1178586,V Aravind
91,928057,LJ Tucker
92,230559,KA Pollard
93,51439,DJ Bravo
94,902907,TA Lammonby
95,1172968,DR Mousley
96,464626,C Overton
97,807535,BTJ Wheal
98,712219,Zahir Khan
99,1149157,CG Benjamin
100,12454,JL Denly
101,848623,M Deyal
102,431901,E Lewis
103,236489,DJ Malan
104,1161038,A Sharafu
105,8917,MM Ali
106,25913,Mohammad Nabi
107,325012,MP Stoinis
108,909225,PI Walter
109,247235,CR Woakes
110,226492,MJ Guptill
111,318845,RR Rossouw
112,298438,JJ Roy
113,493773,LH Ferguson
114,1123718,SH Johnson
115,379504,A Zampa
116,436757,H Klaasen
117,892749,TH David
118,1159641,MD Patel
119,595978,T Stubbs
120,1070665,D Brevis
121,793463,Rashid Khan
122,272477,JP Behrendorff
123,772471,Jasdeep Singh
124,550215,K Rabada
125,1108490,Waqar Salamkheil
126,1150684,K Phillip
127,459508,AJ Tye
128,5334,AJ Finch
129,959759,FH Allen
130,1076382,MW Harvey
131,532853,SK Patel
132,230193,MS Wade
133,322812,DJ White
134,277662,CJ Anderson
135,628217,C Bishnoi
136,1277627,SP Krishnamurthi
137,922943,Shadab Khan
138,429748,MA Aponso
139,1219972,BL Couch
140,440894,C le Roux
141,542023,L Ngidi
142,19264,LE Plunkett
143,957645,Aaron Jones
144,788879,Nauman Anwar
145,422847,Harmeet Singh
146,227758,Imad Wasim
147,422965,GSNFG Jayasuriya
148,300629,AK Perera
149,327830,D Pretorius
150,554701,SS Ranjane
151,265564,WD Parnell
152,443263,HR Walsh
153,277912,TA Boult
154,44828,F du Plessis
155,322815,C Chetty
156,379140,DP Conway
157,321777,DA Miller
158,1193310,SR Mukkamalla
159,547079,Sami Aslam
160,935881,Mohammad Mohsin
161,826901,DR Sams
162,502714,MJ Santner
163,953793,CAH Stevenson
164,596010,G Coetzee
165,40618,Imran Tahir
166,379143,Q de Kock
167,556916,Mukhtar Ahmed
168,1124282,JR Philippe
169,823509,GD Phillips
170,5961,MC Henriques
171,696401,M Jansen
172,679567,BJ Dwarshuis
173,1170471,T Sangha
174,772469,Usman Rafiq
175,604302,N Pooran
176,1241265,AA Khan
177,1212829,AA Naseer
178,481979,AA Nortje
179,525992,Adam Hose
180,275486,Alyssa Healy
181,51862,Andre Fletcher
182,485379,Andries Gous
183,960867,Arundhati
184,550687,Asha Sobhana
185,858809,Ashleigh Gardner
186,1209110,B Hameed
187,381258,B Mooney
188,1036191,B de Leede
189,211748,Benny Howell
190,326637,C Lynn
191,450881,C Savage
192,55395,C de Grandhomme
193,326635,Cameron Gannon
194,45705,Colin Ingram
195,429927,Corne Dry
196,641423,D Lawrence
197,597811,D Sharma
198,379926,Dane Piedt
199,1255408,Dhara Gujjar
200,961183,Disha Kasat
201,906749,Dominic Drakes
202,547092,E Adil
203,275487,Ellyse Perry
204,275447,Erin Burns
205,974175,F Farooqi
206,946057,GL Wareham
207,381268,Grace Harris
208,1039481,Gus Atkinson
209,384518,H Azam
210,474308,H Mathews
211,1161606,H Rauf
212,793457,H Zazai
213,358259,Heather Knight
214,961005,Humaira Kazi
215,1146066,Issy Wong
216,571911,J Clarke
217,430105,J Malhotra
218,883405,J Rodrigues
219,414990,JT Ball
220,374936,Jess Jonassen
221,1255387,Jintimani Kalita
222,766809,Jordan Thompson
223,594293,Justin Dill
224,1289983,K Navgire
225,960673,KA Sarvani
226,1058987,KP Meiyappan
227,1255560,Kanika Ahuja
228,961195,Komal Zanzad
229,784375,L Kumara
230,573170,L Wood
231,699483,Lahiru Milantha
232,1353033,M Jawadullah
233,451947,M Kumar
234,1213438,M Patel
235,605575,M Short
236,974109,M Ur Rahman
237,1241277,M Waseem
238,1203754,MJ Siddique
239,329336,Meg Lanning
240,927119,Muhammad Ali Khan
241,1041679,N Kenjige
242,524049,N Zadran
243,1182529,NL Ahmad
244,793447,NM Ul-Haq
245,515905,Natalie Sciver
246,429754,Niroshan Dickwella
247,348129,Nitish Kumar
248,887207,OJD Pope
249,328160,Obus Pienaar
250,1346678,P Chopra
251,784379,PW Hasaranga
252,1289979,Poonam Khemnar
253,914171,QK Ahmad
254,1263691,R Ahmed
255,709635,R Gayakwad
256,974087,R Gurbaz
257,307808,R Mustafa
258,35582,R Uthappa
259,960737,R Yadav
260,461632,RJW Topley
261,10582,Ravi Bopara
262,52912,Ravi Rampaul
263,1212830,Richa Ghosh
264,223642,Rusty Theron
265,1182523,S  Verma
266,922967,S Badar
267,647771,S Jahangir
268,398513,S Netravalkar
269,348133,S Taylor
270,1255485,S Yashasri
271,299572,SB Raza
272,317292,SS Ladda
273,442145,SS Pandey
274,1255442,SS Sehrawat
275,18632,Samit Patel
276,334621,Shadley van Schalkwyk
277,1289948,Shreyanka Patil
278,231740,Sophie Devine
279,459257,T Mills
280,381311,Tahlia McGrath
281,1079860,Tajinder Dhillon
282,960847,Tanuja Kanwar
283,872217,Tara Norris
284,470633,Tom Kohler Cadmore
285,446499,Unmukt Chand
286,1099224,W Smeed
287,960715,Y Bhatia
288,32498,Yusuf Pathan
289,290739,Z Haq
290,384525,Z Khan
