,identifier,cricinfo_id
19,797f52cc,1048889
82,42c41e1a,1141874
113,3f4b9ae5,313526
143,12f53be7,1048915
201,f29185a1,1070183
521,0420f51f,1246451
606,e0e5b209,39146
701,d68f4aa1,6892
778,29859e71,265850
780,9d0344f3,681067
1200,9a08a863,1156436
1234,4f2cf3ed,1173523
1316,c820a55b,54549
2685,bb4d1237,1158408
3181,6cd74704,1198939
3461,9815de17,500270
3936,3559290a,467851
3977,b0ef0346,40123
4212,a4af5528,226132
4641,0be62e31,29549
4825,56ca7a8c,40547
5216,58973aaf,1233053
5368,dba4f593,40611
5404,82e71557,416959
5418,15c766c3,40630
6256,abee08c7,1158760
6798,5c93efb1,580989
7238,1aebb2fa,1161397
7282,40849abd,1072118
8043,abb67423,647831
8560,feb6180d,1158099
8740,5ef3c310,467850
8844,bde2d0ea,41565
8866,57888f3c,430012
8962,18aca3ce,433944
9017,1866938c,42051
9308,e1d41d9e,30988
11161,8a452195,1184969
12468,90edaaa9,33757
12774,8001a208,1126427
13157,80ba2fe8,519044
14147,87568a36,1230937
