record_date,player_name,period_name,activity_name,accel_b13_total_eff_gen2,accel_b1_eff_gen2,accel_b2_eff_gen2,accel_b3_eff_gen2,date_name,decel_b13_total_eff_gen2,decel_b1_eff_gen2,decel_b2_eff_gen2,decel_b3_eff_gen2,max_velocity_kmh,player_id,team_name,total_accel_load,total_distance_m,total_dives,total_jumps,total_player_load,vel_b1_tot_dist_m,vel_b2_tot_dist_m,vel_b3_max_eff_dist_m,vel_b3_max_eff_duration,vel_b3_tot_dist_m,vel_b3_total_eff_count,vel_b4_avg_distance_m,vel_b4_max_eff_dist_m,vel_b4_tot_dist_m,vel_b4_total_eff_count,vel_b5_avg_distance_m,vel_b5_max_eff_dist_m,vel_b5_tot_dist_m,vel_b5_total_eff_count
"Wednesday, Feb 28, 2024",Amanjot Kaur,Fielding Innings Warm Up 1,WPL_MATCH_GAME 3 v UP WARRIORS_280224,3,1,2,0,2024-02-28,0,0,0,0,20.10559,646,Mumbai Indian Womens,187.58904,519.21002,0,0,59.71324,390.95001,80.81,0.0,0.0,39.17,0,8.28,0.0,8.28,0,0.0,0.0,0.0,0
"Wednesday, Feb 28, 2024",Amelia Kerr,Batting Innings,WPL_MATCH_GAME 3 v UP WARRIORS_280224,29,23,6,0,2024-02-28,18,6,8,4,22.72226,640,Mumbai Indian Womens,526.01503,1486.74707,0,1,150.60911,999.39003,171.0,0.0,0.0,239.12,0,38.605,0.0,77.21,0,0.0,0.0,0.0,0
"Wednesday, Feb 28, 2024",Hayley Matthews,Batting Innings,WPL_MATCH_GAME 3 v UP WARRIORS_280224,38,32,5,1,2024-02-28,27,14,7,6,25.41434,633,Mumbai Indian Womens,1190.07153,2869.97064,0,0,313.6332,2095.43005,470.11001,0.0,0.0,260.76999,0,19.39,0.0,38.78,0,2.18,0.0,4.36,0
"Wednesday, Feb 28, 2024",Humaira Kazi,Fielding Innings Warm Up 1,WPL_MATCH_GAME 3 v UP WARRIORS_280224,1,1,0,0,2024-02-28,2,2,0,0,13.30815,632,Mumbai Indian Womens,122.81861,543.64001,0,0,39.13113,431.60999,109.99,0.0,0.0,2.03,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
"Wednesday, Feb 28, 2024",Issy Wong,Batting Innings,WPL_MATCH_GAME 3 v UP WARRIORS_280224,16,9,7,0,2024-02-28,11,5,5,1,23.73449,631,Mumbai Indian Womens,393.02799,1229.28412,0,2,101.69458,860.84998,153.74,0.0,0.0,140.98,0,34.395,0.0,68.79,0,2.345,0.0,4.69,0
"Wednesday, Feb 28, 2024",Nat Sciver-Brunt,Batting Innings,WPL_MATCH_GAME 3 v UP WARRIORS_280224,19,17,2,0,2024-02-28,9,4,4,1,20.54539,627,Mumbai Indian Womens,519.6296,1449.08911,0,0,132.6054,1036.68002,191.15,0.0,0.0,196.42001,0,12.42,0.0,24.84,0,0.0,0.0,0.0,0
"Wednesday, Feb 28, 2024",Pooja Vastrakar,Batting Innings,WPL_MATCH_GAME 3 v UP WARRIORS_280224,27,13,11,3,2024-02-28,21,9,5,7,25.71902,648,Mumbai Indian Womens,546.8664,1573.44116,0,0,161.00591,1046.73001,180.72,0.0,0.0,198.62,0,64.875,0.0,129.75,0,8.81,0.0,17.62,0
"Wednesday, Feb 28, 2024",Saika Ishaque,Fielding Innings Warm Up 1,WPL_MATCH_GAME 3 v UP WARRIORS_280224,0,0,0,0,2024-02-28,1,1,0,0,12.00345,647,Mumbai Indian Womens,161.22691,530.26404,0,0,38.16441,448.66,81.6,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
"Wednesday, Feb 28, 2024",Sajeevan Sajana,Batting Innings,WPL_MATCH_GAME 3 v UP WARRIORS_280224,6,3,3,0,2024-02-28,5,1,3,1,19.87784,1550,Mumbai Indian Womens,240.15096,809.23685,0,0,75.28834,539.27998,206.41,0.0,0.0,55.89,0,2.53,0.0,5.06,0,0.0,0.0,0.0,0
"Wednesday, Feb 28, 2024",Sathyamoorthy Keerthana,Fielding Innings Warm Up 1,WPL_MATCH_GAME 3 v UP WARRIORS_280224,8,7,1,0,2024-02-28,14,14,0,0,19.44219,1551,Mumbai Indian Womens,1511.76636,3883.14304,0,0,254.73084,2703.78992,926.77997,0.0,0.0,247.55,0,2.565,0.0,5.13,0,0.0,0.0,0.0,0
"Wednesday, Feb 28, 2024",Yastika Bhatia,Batting Innings,WPL_MATCH_GAME 3 v UP WARRIORS_280224,21,16,5,0,2024-02-28,11,5,6,0,20.53892,642,Mumbai Indian Womens,681.86815,1659.65863,0,0,139.46665,1297.52997,163.99,0.0,0.0,185.08,0,6.52,0.0,13.04,0,0.0,0.0,0.0,0
