position,player_id,player_name,team,competition_name
1,0,Devon Conway,CSK,IPL
2,0,Ruturaj Gaikwad,CSK,IPL
3,0,Ambati Rayadu,CSK,IPL
4,0,Ajinkya Rahane,CSK,IPL
5,0,Moeen Ali,CSK,IPL
6,0,Ben Stokes,CSK,IPL
7,0,Ms Dhoni,CSK,IPL
8,0,Ravindra Jadeja,CSK,IPL
9,0,Deepak Chahar,CSK,IPL
10,0,Mukesh Choudhary,CSK,IPL
11,0,Maheesh Theekshana,CSK,IPL
1,0,Prithvi Shaw,DC,IPL
2,0,David Warner,DC,IPL
3,0,Mitchell Marsh,DC,IPL
4,0,Rishabh Pant,DC,IPL
5,0,Rilee Rossouw,DC,IPL
6,0,Manish Pandey,DC,IPL
7,0,Axar Patel,DC,IPL
8,0,Anrich Nortje,DC,IPL
9,0,Kuldeep Yadav,DC,IPL
10,0,Khaleel Ahmed,DC,IPL
11,0,Chetan Sakariya,DC,IPL
1,0,Wriddhiman Saha,GT,IPL
2,0,Shubman Gill,GT,IPL
3,0,Kane Williamson,GT,IPL
4,0,Hardik Pandya,GT,IPL
5,0,David Miller,GT,IPL
6,0,Rahul Tewatia,GT,IPL
7,0,Rashid Khan,GT,IPL
8,0,Alzarri Joseph,GT,IPL
9,0,Mohammed Shami,GT,IPL
10,0,Shubman Gill,GT,IPL
11,0,Yash Dayal,GT,IPL
1,0,Rohit Sharma,MI,IPL
2,0,Ishan Kishan,MI,IPL
3,0,Suryakumar Yadav,MI,IPL
4,0,Dewald Brevis,MI,IPL
5,0,Thakur Tilak Varma,MI,IPL
6,0,Tim David,MI,IPL
7,0,Jofra Archer,MI,IPL
8,0,Jasprit Bumrah,MI,IPL
9,0,Kumar Kartikeya Singh,MI,IPL
10,0,Hrithik Shokeen,MI,IPL
11,0,Jhye Richardson,MI,IPL
1,0,Faf Du Plessis,RCB,IPL
2,0,Virat Kohli,RCB,IPL
3,0,Rajat Patidar,RCB,IPL
4,0,Glenn Maxwell,RCB,IPL
5,0,Mahipal Lomror,RCB,IPL
6,0,Dinesh Karthik,RCB,IPL
7,0,Shahbaz Ahmed,RCB,IPL
8,0,Wanindu Hasaranga,RCB,IPL
9,0,Harshal Patel,RCB,IPL
10,0,Josh Hazlewood,RCB,IPL
11,0,Mohammed Siraj,RCB,IPL
1,0,Mayank Agarwal,SRH,IPL
2,0,Abhishek Sharma,SRH,IPL
3,0,Rahul Tripathi,SRH,IPL
4,0,Glenn Phillips,SRH,IPL
5,0,Aiden Markram,SRH,IPL
6,0,Abdul Samad,SRH,IPL
7,0,Heinrich Klaasen,SRH,IPL
8,0,Washington Sundar,SRH,IPL
9,0,Bhuvneshwar Kumar,SRH,IPL
10,0,Umran Malik,SRH,IPL
11,0,Marco Jansen,SRH,IPL
1,0,Jonny Bairstow,KXIP,IPL
2,0,Shikhar Dhawan,KXIP,IPL
3,0,Bhanuka Rajapaksa,KXIP,IPL
4,0,Liam Livingstone,KXIP,IPL
5,0,Shahrukh Khan M,KXIP,IPL
6,0,Sam Curran,KXIP,IPL
7,0,Kagiso Rabada,KXIP,IPL
8,0,Arshdeep Singh,KXIP,IPL
9,0,Rahul Chahar,KXIP,IPL
10,0,Nathan Ellis,KXIP,IPL
11,0,Harpreet Brar,KXIP,IPL
1,0,Jos Buttler,RR,IPL
2,0,Yashasvi Jaiswal,RR,IPL
3,0,Sanju Samson,RR,IPL
4,0,Devdutt Padikkal,RR,IPL
5,0,Shimron Hetmyer,RR,IPL
6,0,Riyan Parag,RR,IPL
7,0,Jason Holder,RR,IPL
8,0,R Ashwin,RR,IPL
9,0,Trent Boult,RR,IPL
10,0,Prasidh Krishna,RR,IPL
11,0,Yuzvendra Chahal,RR,IPL
1,0,Quinton De Kock,LKSG,IPL
2,0,Kl Rahul,LKSG,IPL
3,0,Deepak Hooda,LKSG,IPL
4,0,Nicholas Pooran,LKSG,IPL
5,0,Marcus Stoinis,LKSG,IPL
6,0,Ayush Badoni,LKSG,IPL
7,0,Krunal Pandya,LKSG,IPL
8,0,Ravi Bishnoi,LKSG,IPL
9,0,Avesh Khan,LKSG,IPL
10,0,Mark Wood,LKSG,IPL
11,0,Mohsin Khan,LKSG,IPL
1,0,Jagadeesan N,KKR,IPL
2,0,Venkatesh Iyer,KKR,IPL
3,0,Shreyas Iyer,KKR,IPL
4,0,Rinku Singh,KKR,IPL
5,0,Nitish Rana,KKR,IPL
6,0,Andre Russell,KKR,IPL
7,0,Shardul Thakur,KKR,IPL
8,0,Sunil Narine,KKR,IPL
9,0,Varun Chakravathi V,KKR,IPL
10,0,Tim Southee,KKR,IPL
11,0,Lockie Ferguson,KKR,IPL
1,,Hazrat Zazai,AFGH,T20
2,,Rahmanullah Gurbaz,AFGH,T20
3,,Ibrahim Zadran,AFGH,T20
4,,Darwish Rasooli,AFGH,T20
5,,Najibullah Zadran,AFGH,T20
6,,Mohammad Nabi,AFGH,T20
7,,Azmatullah Omarzai,AFGH,T20
8,,Rashid Khan,AFGH,T20
9,,Mujeeb Ur Rahman,AFGH,T20
10,,Fareed Ahmad,AFGH,T20
11,,FazalHaq Farooqi,AFGH,T20
1,,David Warner,AUST,T20
2,,Aaron Finch,AUST,T20
3,,Mitchell Marsh,AUST,T20
4,,Glenn Maxwell,AUST,T20
5,,Marcus Stoinis,AUST,T20
6,,Tim David,AUST,T20
7,,Matthew Wade,AUST,T20
8,,Pat Cummins,AUST,T20
9,,Mitchell Starc,AUST,T20
10,,Josh Hazlewood,AUST,T20
11,,Adam Zampa,AUST,T20
1,,Jos Buttler,ENGL,T20
2,,Philip Salt,ENGL,T20
3,,Dawid Malan,ENGL,T20
4,,Ben Stokes,ENGL,T20
5,,HC Brook,ENGL,T20
6,,Moeen Ali,ENGL,T20
7,,Sam Curran,ENGL,T20
8,,Chris Jordan,ENGL,T20
9,,Mark Wood,ENGL,T20
10,,David Willey,ENGL,T20
11,,Adil Rashid,ENGL,T20
1,,FH Allen,NZ,T20
2,,Devon Conway,NZ,T20
3,,Kane Williamson,NZ,T20
4,,Glenn Phillips,NZ,T20
5,,MS Chapman,NZ,T20
6,,James Neesham,NZ,T20
7,,MG Bracewell,NZ,T20
8,,Adam Milne,NZ,T20
9,,Ish Sodhi,NZ,T20
10,,Tim Southee,NZ,T20
11,,Trent Boult,NZ,T20
1,,Litton Das,BANG,T20
2,,Nazmul Hossain Shanto,BANG,T20
3,,Shakib Al Hasan,BANG,T20
4,,Afif Hossain,BANG,T20
5,,Yasir Ali Chowdhury,BANG,T20
6,,Nurul Hasan,BANG,T20
7,,Mosaddek Hossain,BANG,T20
8,,Mehedi Hasan Miraz,BANG,T20
9,,Taskin Ahmed,BANG,T20
10,,Nasum Ahmed,BANG,T20
11,,Mustafizur Rahman,BANG,T20
1,,Kl Rahul,INDI,T20
2,,Rohit Sharma,INDI,T20
3,,Virat Kohli,INDI,T20
4,,Suryakumar Yadav,INDI,T20
5,,Hardik Pandya,INDI,T20
6,,Dinesh Karthik,INDI,T20
7,,Axar Patel,INDI,T20
8,,Bhuvneshwar Kumar,INDI,T20
9,,Mohammed Shami,INDI,T20
10,,Arshdeep Singh,INDI,T20
11,,Yuzvendra Chahal,INDI,T20
1,,Mohammad Rizwan,PAKI,T20
2,,Babar Azam,PAKI,T20
3,,Shan Masood,PAKI,T20
4,,Haider Ali,PAKI,T20
5,,Iftikhar Ahmed,PAKI,T20
6,,Asif Ali,PAKI,T20
7,,Mohammad Nawaz (3),PAKI,T20
8,,Shadab Khan,PAKI,T20
9,,Naseem Shah,PAKI,T20
10,,Haris Rauf,PAKI,T20
11,,Shaheen Shah Afridi,PAKI,T20
1,,Quinton De Kock,SA,T20
2,,T Bavuma,SA,T20
3,,Rilee Rossouw,SA,T20
4,,Aiden Markram,SA,T20
5,,David Miller,SA,T20
6,,Tristan Stubbs,SA,T20
7,,Wayne Parnell,SA,T20
8,,KA Maharaj,SA,T20
9,,Lungi Ngidi,SA,T20
10,,Kagiso Rabada,SA,T20
11,,Anrich Nortje,SA,T20
1,,MP ODowd,NETH,T20
2,,Vikramjit Singh,NETH,T20
3,,BFW de Leede,NETH,T20
4,,CN Ackermann,NETH,T20
5,,Tom Cooper,NETH,T20
6,,SA Edwards,NETH,T20
7,,TJG Pringle,NETH,T20
8,,Roelof Van Der Merwe,NETH,T20
9,,T van der Gugten,NETH,T20
10,,FJ Klaassen,NETH,T20
11,,Paul Van Meekeren,NETH,T20
1,,P Nissanka,SL,T20
2,,BKG Mendis,SL,T20
3,,DM de Silva,SL,T20
4,,KIC Asalanka,SL,T20
5,,Bhanuka Rajapaksa,SL,T20
6,,MD Shanaka,SL,T20
7,,Wanindu Hasaranga,SL,T20
8,,C Karunaratne,SL,T20
9,,Maheesh Theekshana,SL,T20
10,,CBRLS Kumara,SL,T20
11,,B Fernando,SL,T20
1,,PR Stirling,IREL,T20
2,,A Balbirnie,IREL,T20
3,,L Tucker,IREL,T20
4,,HT Tector,IREL,T20
5,,C Campher,IREL,T20
6,,GH Dockrell,IREL,T20
7,,GJ Delany,IREL,T20
8,,MR Adair,IREL,T20
9,,Simi Singh,IREL,T20
10,,BJ McCarthy,IREL,T20
11,,J Little,IREL,T20
1,,RW Chakabva,ZIMB,T20
2,,CR Ervine,ZIMB,T20
3,,W Madhevere,ZIMB,T20
4,,SC Williams,ZIMB,T20
5,,Sikandar Raza,ZIMB,T20
6,,M Shumba,ZIMB,T20
7,,RP Burl,ZIMB,T20
8,,LM Jongwe,ZIMB,T20
9,,R Ngarava,ZIMB,T20
10,,TL Chatara,ZIMB,T20
11,,B Muzarabani,ZIMB,T20
